Symptoms	IsUrgent
سيلان أنفي شفاف بعد التعرض للغبار، دون صفير أو تورم.	false
تنفس مجهد أثناء الجلوس مع انكماش الجلد بين الأضلاع.	true
عطاس صباحي خفيف يخف خلال اليوم، دون أعراض أخرى.	false
اختناق مفاجئ أثناء الأكل مع عدم القدرة على الكلام أو السعال.	true
حكة بسيطة بالأنف مع إفرازات شفافة، دون ضيق في التنفس.	false
صفير شديد بالصدر مع صعوبة واضحة في إدخال الهواء.	true
احتقان أنفي خفيف أثناء الزكام، مع شهية ونشاط طبيعيين.	false
ضيق تنفس مفاجئ مع ألم بالصدر وتورم إحدى الساقين.	true
جفاف بسيط داخل الأنف في الجو البارد، دون نزيف.	false
صعوبة شديدة في التنفس بعد استنشاق دخان حريق.	true
رشح خفيف مع دمع بسيط في العينين، دون ألم أو تغير بالرؤية.	false
لهاث شديد أثناء الراحة مع تشوش في الوعي.	true
انسداد متقطع بسيط بالأنف عند النوم، دون اختناق أو صعوبة تنفس.	false
صوت حاد عند الشهيق مع صعوبة تنفس متزايدة.	true
إفرازات أنفية قليلة مع عطاس خفيف، دون ألم بالوجه أو حمى.	false
طفل يتنفس بصعوبة شديدة مع سحب واضح أسفل الأضلاع وازرقاق حول الفم.	true
حكة خفيفة في موضع لدغة بعوضة، دون انتشار الاحمرار أو تورم الوجه.	false
شخص سقط فجأة ولا يستجيب للنداء أو اللمس.	true
جفاف بسيط في جلد اليدين مع حكة محدودة، دون تشققات نازفة.	false
فقدان وعي مع تنفس متقطع وغير طبيعي.	true
حكة خفيفة تحت سوار جديد، دون طفح منتشر أو صعوبة تنفس.	false
إغماء أثناء ممارسة الرياضة مع ألم بالصدر.	true
تقشر بسيط في جلد المرفقين، دون ألم أو التهاب.	false
فقدان وعي عقب ضربة على الرأس مع قيء متكرر.	true
احمرار خفيف في موضع احتكاك الملابس، دون جرح أو تورم.	false
شخص لا يمكن إيقاظه بعد تناول دواء مهدئ، وتنفسه بطيء.	true
حكة محدودة بفروة الرأس مع قشور قليلة، دون جروح أو إفرازات.	false
انهيار مفاجئ مع غياب الاستجابة والتنفس الطبيعي.	true
جفاف خفيف في جلد الساقين يسبب حكة بسيطة، دون تورم.	false
إغماء متكرر خلال وقت قصير مع خفقان شديد.	true
احمرار صغير حول لدغة حشرة، ثابت الحجم ودون حمى أو أعراض عامة.	false
شخص استعاد وعيه بعد الإغماء لكنه ما زال مرتبكًا ولا يعرف مكانه.	true
خشونة بسيطة بجلد الكعبين، دون تشققات عميقة أو نزيف.	false
فقدان وعي لدى مريض بالسكري مع تعرق غزير.	true
حكة خفيفة بموضع استخدام صابون جديد، دون فقاعات أو تورم أو طفح واسع.	false
نعاس غير طبيعي مع صعوبة شديدة في الإيقاظ بعد التعرض للحرارة.	true
تعب بسيط بعد يوم مزدحم، يتحسن بالراحة ولا يصاحبه ضيق تنفس.	false
نزيف غزير من جرح بالذراع لا يتوقف رغم الضغط المباشر المستمر.	true
إرهاق خفيف بعد ليلة نوم قصيرة، مع يقظة وقدرة طبيعية على الحركة.	false
دم يتدفق بقوة من جرح عميق بالساق مع دوخة.	true
إجهاد بسيط بعد المشي المعتاد، يزول سريعًا بالراحة دون ألم صدر.	false
نزيف أنفي غزير مستمر رغم الضغط الصحيح لمدة عشرين دقيقة.	true
نعاس خفيف بعد السهر، مع سهولة الاستيقاظ وعدم وجود ارتباك.	false
قيء يحتوي على كمية واضحة من الدم الأحمر.	true
تعب محدود بعد أعمال المنزل، دون خفقان أو دوخة أو ضعف مفاجئ.	false
براز أسود قطراني مصحوب بدوخة وضعف شديد.	true
إرهاق عضلي خفيف بعد نشاط بدني مألوف، دون ألم شديد أو تغير في البول.	false
نزيف مهبلي غزير يبلل فوطة كبيرة كل ساعة مع شعور بالإغماء.	true
انخفاض بسيط في النشاط بعد سفر طويل، يتحسن بالنوم ولا يصاحبه تورم الساقين.	false
نزيف شديد بعد الولادة مع شحوب وتسارع ضربات القلب.	true
تعب خفيف في نهاية الدوام، مع شهية طبيعية ودون حمى.	false
جرح عميق باليد ينزف باستمرار رغم الضغط عليه.	true
حاجة للراحة بعد المجهود المعتاد، دون إغماء أو أعراض جديدة.	false
خروج كمية كبيرة من الدم مع السعال وضيق التنفس.	true
إجهاد بسيط عقب الدراسة لساعات، يتحسن بأخذ استراحة.	false
نزيف مستمر بعد خلع سن رغم الضغط بالشاش، مع دوخة وشحوب.	true
حرقة خفيفة مألوفة بعد وجبة حارة، دون ألم صدر أو صعوبة بلع.	false
تشنجات في كامل الجسم مستمرة لأكثر من خمس دقائق.	true
حرقة بسيطة أعلى البطن بعد الإفراط في الطعام، دون قيء أو ألم شديد.	false
نوبات تشنج متكررة دون استعادة الوعي بينها.	true
طعم حامض خفيف في الفم بعد وجبة متأخرة، دون ألم أو اختناق.	false
أول نوبة تشنج في الحياة مع فقدان الوعي.	true
حرقة خفيفة بعد شرب القهوة، مماثلة لما يحدث عادة ودون أعراض أخرى.	false
تشنج أثناء الحمل مع صداع شديد.	true
انزعاج بسيط بعد طعام دهني مع تجشؤ، دون ألم صدر أو ضيق تنفس.	false
تشنجات بعد إصابة في الرأس.	true
حرقة متقطعة خفيفة بعد الأكل، مع بلع طبيعي ودون نزول وزن.	false
طفل يتشنج مع ازرقاق الوجه وصعوبة التنفس.	true
شعور بسيط بالحموضة بعد الاستلقاء عقب الطعام، يخف بالجلوس ودون ألم صدر.	false
توقف التشنج لكن المصاب لا يستجيب وتنفسه غير طبيعي.	true
امتلاء خفيف بالمعدة بعد وجبة كبيرة، دون ألم أو قيء.	false
نوبة تشنج في الماء أعقبها سعال شديد وصعوبة تنفس.	true
تجشؤ متكرر قليلًا بعد مشروب غازي، دون ألم بالبطن أو الصدر.	false
تشنج مع حمى شديدة وتيبس الرقبة.	true
حرقة خفيفة مستقرة مرتبطة بأطعمة محددة، دون قيء دموي أو براز أسود.	false
نوبة تشنج تختلف عن المعتاد وتستمر سبع دقائق رغم الدواء الإسعافي الموصوف.	true
شد خفيف في الكتفين بعد الجلوس طويلًا، دون خدر أو ضعف.	false
ضعف مفاجئ بالذراع والساق في جهة واحدة من الجسم.	true
ألم عضلي بسيط بالفخذين بعد تمارين معتادة، مع مشي طبيعي ودون تورم.	false
ميل مفاجئ بأحد جانبي الوجه مع ثقل في الكلام.	true
وجع خفيف بأسفل الظهر بعد الانحناء، دون ضعف بالساقين أو تغير في التبول.	false
عدم القدرة المفاجئة على الكلام مع بقاء الشخص واعيًا.	true
تيبس بسيط بالرقبة بعد النوم بوضع غير مريح، دون حمى أو صداع شديد.	false
فقدان مفاجئ للرؤية في عين واحدة دون سبب واضح.	true
ألم خفيف بالساعد بعد الكتابة الطويلة، دون تورم أو فقدان إحساس.	false
صداع مفاجئ بالغ الشدة يصل إلى أقصاه خلال ثوان.	true
إجهاد بسيط بعضلات الساقين بعد الوقوف، دون احمرار أو تورم أحادي الجانب.	false
خدر مفاجئ بنصف الجسم مع اضطراب في النطق.	true
وجع خفيف بالكتف عند حمل حقيبة، دون إصابة أو ألم صدر.	false
دوار مفاجئ شديد مع عدم القدرة على المشي وازدواج الرؤية.	true
ألم محدود بالرسغ بعد استخدام الفأرة، دون خدر أو صعوبة في تحريك الأصابع.	false
ضعف مفاجئ بالساقين مع فقدان التحكم بالبول وخدر بين الفخذين.	true
شد عضلي بسيط بالظهر بعد ترتيب المنزل، يتحسن بالراحة ودون حمى.	false
صعوبة مفاجئة في فهم الكلام مع ارتباك غير معتاد.	true
تيبس خفيف بالأصابع بعد عمل يدوي، دون تورم أو سخونة بالمفاصل.	false
ضعف مفاجئ بجهة واحدة وثقل بالكلام اختفيا بعد عشر دقائق.	true
جفاف خفيف بالعينين بعد استخدام الحاسوب، دون ألم أو تشوش في الرؤية.	false
تورم سريع في اللسان والشفتين مع صعوبة في التنفس بعد تناول طعام.	true
حكة بسيطة في العينين مع عطاس، دون تورم شديد أو تغير في النظر.	false
طفح منتشر مع ضيق تنفس عقب تناول دواء جديد.	true
إحساس خفيف بالتعب حول العينين بعد القراءة، يتحسن بالراحة.	false
تورم بالحلق وبحة مفاجئة بعد لسعة نحلة.	true
دمع بسيط عند التعرض للهواء، دون إصابة أو ألم أو نقص بالرؤية.	false
حكة شديدة في الجسم مع دوخة وصعوبة تنفس بعد حقنة.	true
حرقة خفيفة بالعينين في غرفة مكيفة، دون احمرار شديد أو استعمال عدسات لاصقة.	false
انتفاخ سريع بالوجه واللسان مع صعوبة في البلع.	true
جفاف بسيط بالحلق صباحًا، مع بلع وتنفس طبيعيين.	false
صفير مفاجئ وضيق تنفس مع طفح بعد تناول المكسرات.	true
خشونة خفيفة بالصوت بعد الكلام الطويل، دون ضيق نفس أو صعوبة بلع.	false
احمرار منتشر مع إغماء بعد التعرض لمادة سببت حساسية سابقًا.	true
بحة بسيطة بعد رفع الصوت، مع القدرة على الأكل والشرب كالمعتاد.	false
تورم بالشفتين مع قيء متكرر وصعوبة تنفس بعد تناول مأكولات بحرية.	true
دغدغة خفيفة بالحلق تسبب سعالًا متقطعًا، دون حمى أو ضيق تنفس.	false
إحساس بانغلاق الحلق مع تورم اللسان بعد جرعة دواء.	true
ألم خفيف بالحلق منذ يوم، دون تورم بالرقبة أو صعوبة في البلع.	false
طفح سريع الانتشار مع تعرق بارد وشعور بالإغماء عقب لسعة حشرة.	true
انتفاخ بسيط بعد تناول البقول، دون ألم شديد أو قيء.	false
ألم مفاجئ شديد بالبطن مع بطن قاس وقيء متكرر.	true
غازات خفيفة بالبطن مع تبرز طبيعي، دون دم أو حمى.	false
ألم شديد أسفل البطن أثناء الحمل مع نزيف ودوخة.	true
إمساك بسيط منذ يومين مع استمرار خروج الغازات، دون ألم أو قيء.	false
ألم مفاجئ شديد بالخصية مع تورم وغثيان.	true
براز أكثر ليونة من المعتاد مرة واحدة، دون دم أو حمى أو علامات جفاف.	false
قيء متواصل يمنع الاحتفاظ بأي سوائل مع قلة شديدة في البول وخمول.	true
غثيان خفيف بعد وجبة دسمة، دون قيء أو ألم بالبطن أو الصدر.	false
انتفاخ شديد بالبطن مع قيء وانقطاع خروج البراز والغازات.	true
قرقرة بالبطن بعد الطعام، دون ألم أو تغير مستمر في التبرز.	false
ألم شديد بالبطن مع خروج دم كثير في البراز وشعور بالإغماء.	true
مغص خفيف مألوف أثناء الدورة الشهرية، دون نزيف غزير أو دوخة.	false
ألم شديد بالظهر والبطن مع تعرق بارد وانهيار مفاجئ.	true
تقلصات بسيطة تزول بعد خروج الغازات، دون حمى أو قيء.	false
صداع شديد أثناء الحمل مع زغللة وألم أعلى البطن.	true
إسهال خفيف مرتين لدى شخص بالغ، مع شرب وتبول طبيعيين ودون دم أو حمى.	false
نزول دم غزير أثناء الحمل مع ألم شديد وشحوب.	true
شعور بسيط بالشبع بعد وجبة كبيرة، يزول تدريجيًا دون ألم.	false
ألم شديد متزايد بالبطن مع حمى وارتباك.	true
تشقق سطحي بسيط بالشفتين بسبب الجفاف، دون نزيف أو تورم.	false
إصابة قوية بالرأس يتبعها تزايد النعاس وقيء متكرر.	true
قرحة صغيرة واحدة داخل الفم، مع القدرة على الأكل والشرب ودون حمى.	false
ألم شديد بالرقبة بعد سقوط من ارتفاع مع ضعف في الأطراف.	true
حساسية خفيفة بالأسنان عند المشروبات الباردة تزول سريعًا، دون تورم أو ألم مستمر.	false
جرح عميق مع ظهور العظم بعد حادث سير.	true
احمرار خفيف باللثة بعد تنظيف قوي للأسنان، دون نزيف مستمر أو تورم الوجه.	false
حرق يغطي مساحة كبيرة من الصدر والذراع مع فقاعات واسعة.	true
جفاف بسيط بالفم عند الاستيقاظ، يتحسن بشرب الماء مع تبول طبيعي.	false
حروق بالوجه بعد حريق مع بحة وصعوبة في التنفس.	true
عضة سطحية داخل الخد أثناء الأكل، دون نزيف مستمر أو صعوبة بلع.	false
تعرض العين لمادة تنظيف كاوية مع ألم شديد وتشوش الرؤية.	true
ألم بسيط باللسان بعد طعام ساخن، دون فقاعات كبيرة أو تورم.	false
جسم حاد مغروس في العين مع تراجع مفاجئ في النظر.	true
رائحة فم غير معتادة صباحًا تتحسن بالتنظيف، دون ألم أو حمى.	false
ألم شديد بالساق بعد إصابة مع برودة القدم وخدرها.	true
بقايا طعام عالقة بين الأسنان تسبب انزعاجًا بسيطًا، دون تورم أو ألم شديد.	false
ألم صدري وخفقان بعد التعرض لصعقة كهربائية.	true
تقشر خفيف بالشفتين بعد التعرض للهواء الجاف، دون تقرحات أو أعراض عامة.	false
جرح نافذ بالبطن مع ألم شديد ونزيف.	true
خدش سطحي صغير من ورقة، توقف نزفه ولا توجد علامات التهاب.	false
حمى مع صداع شديد وتيبس الرقبة وصعوبة في الاستيقاظ.	true
كدمة صغيرة بعد اصطدام خفيف بالذراع، مع حركة طبيعية ودون تورم متزايد.	false
حمى مع طفح بنفسجي لا يبهت عند الضغط وارتباك.	true
فقاعة احتكاك صغيرة مغلقة بالكعب بعد حذاء جديد، دون احمرار منتشر.	false
رضيع عمره شهران تبلغ حرارته ثمانيًا وثلاثين درجة مئوية.	true
تسلخ خفيف بين الفخذين بعد المشي، دون جروح عميقة أو إفرازات.	false
طفل شديد الخمول يرفض الشرب ولم يتبول منذ اثنتي عشرة ساعة.	true
احمرار شمسي خفيف في مساحة صغيرة من الذراع، دون فقاعات أو حمى أو دوخة.	false
ارتباك وسخونة شديدة بالجسم بعد البقاء تحت الشمس.	true
ظفر متشقق عند الحافة فقط، دون نزيف أو ألم في قاعدة الظفر.	false
صداع ودوخة وغثيان لدى عدة أشخاص داخل غرفة بها مدفأة وقود، مع إغماء أحدهم.	true
ألم خفيف في موضع حقنة سابقة، دون حمى أو تورم متزايد أو طفح.	false
تنفس بطيء جدًا مع صعوبة الإيقاظ بعد تناول كمية كبيرة من مسكن قوي.	true
كدمة صغيرة بالساق بعد اصطدام معروف، دون صعوبة مشي أو استعمال مميعات الدم.	false
ابتلاع مادة كاوية مع ألم شديد بالفم وسيلان اللعاب وصعوبة البلع.	true
جلد سميك قليلًا على جانب إصبع القدم بسبب الحذاء، دون جرح أو التهاب.	false
مريض بالسكري يعاني قيئًا متكررًا وتنفسًا عميقًا سريعًا وتشوشًا في الوعي.	true
حكة خفيفة حول خدش سطحي يلتئم، دون احمرار متزايد أو صديد أو حمى.	false
ألم شديد ضاغط في الصدر بدأ فجأة مع تعرق بارد.	true
صداع خفيف بعد يوم عمل طويل، دون حمى أو قيء أو اضطراب في الرؤية، ويتحسن بالراحة.	false
وجع قوي بالصدر يمتد إلى الذراع مع ضيق نفس.	true
ألم بسيط في الرأس بعد قلة النوم، دون دوخة أو ضعف، مع القدرة على ممارسة الأنشطة المعتادة.	false
ضغط شديد بمنتصف الصدر مستمر أثناء الراحة مع غثيان.	true
ضغط خفيف حول الجبهة بعد القراءة الطويلة، يخف عند إراحة العينين، دون أعراض أخرى.	false
ألم مفاجئ شديد بالصدر يصل إلى الظهر مع دوخة قوية.	true
وجع خفيف في جانبي الرأس خلال التوتر، دون بداية مفاجئة أو تيبس في الرقبة.	false
ثقل شديد على الصدر مع شحوب وصعوبة في التنفس.	true
صداع بسيط مألوف يظهر عند تأخير الوجبة ويزول بعد الأكل، دون إغماء أو تشوش.	false
ألم صدر قوي أثناء المشي لم يخف بعد التوقف.	true
ألم خفيف بالرأس بعد التعرض لضوضاء طويلة، تحسن في مكان هادئ، دون أعراض مصاحبة.	false
وجع شديد بالصدر مع خفقان وإحساس بقرب الإغماء.	true
صداع خفيف تدريجي في نهاية اليوم، دون إصابة بالرأس أو تغير في الكلام أو الحركة.	false
ألم حاد مفاجئ بالصدر مع سعال دموي وضيق نفس.	true
ثقل بسيط بالرأس بعد استخدام الشاشة، يخف بالراحة، دون ألم بالعين أو ضعف في البصر.	false
ضغط مؤلم بالصدر يمتد إلى الفك مع تعرق وغثيان.	true
وجع طفيف في الجبهة يشبه نوبات سابقة خفيفة، دون زيادة في الشدة أو أعراض جديدة.	false
ألم شديد بالصدر بعد إصابة مباشرة مع صعوبة واضحة في التنفس.	true
صداع خفيف بعد رحلة طويلة وقلة الراحة، دون حمى أو قيء، وقد بدأ يتحسن بعد النوم.	false
ضيق تنفس شديد يمنع إكمال جملة قصيرة.	true
رشح بسيط بإفرازات شفافة، دون حمى أو صعوبة في التنفس، مع نشاط طبيعي.	false
صعوبة تنفس مفاجئة مع ازرقاق الشفتين.	true
عطاس متقطع عند التعرض للغبار، يخف بعد الابتعاد عنه، دون صفير أو تورم.	false
لهاث شديد أثناء الراحة مع شعور بالاختناق.	true
انسداد خفيف في الأنف أثناء النوم، مع تنفس مريح من الفم ودون ألم شديد أو حمى.	false
تنفس مجهد مع سحب واضح للجلد بين الأضلاع لدى طفل.	true
سيلان أنفي قليل منذ يوم، دون تدهور عام أو صعوبة في الأكل والشرب.	false
ضيق نفس شديد يتفاقم بسرعة مع صفير مرتفع.	true
حكة بسيطة بالأنف مع عطاس محدود، دون طفح منتشر أو ضيق في التنفس.	false
ألم شديد ضاغط في منتصف الصدر بدأ فجأة وما زال مستمرًا.	true
احتقان أنفي خفيف يتحسن بعد تنظيف الأنف، دون ألم بالوجه أو ارتفاع حرارة.	false
وجع قوي بالصدر يمتد إلى الذراع اليسرى مع تعرق بارد.	true
رشح خفيف بدأ يتحسن، مع بقاء الشهية والنشاط ودون ألم في الصدر.	false
ضغط شديد على الصدر مع غثيان وشعور بقرب الإغماء.	true
جفاف بسيط داخل الأنف في الجو الجاف، دون نزيف أو صعوبة في التنفس.	false
ألم حاد ومفاجئ في الصدر يصاحبه ضيق واضح في التنفس.	true
عطاس صباحي قصير مع سيلان شفاف، دون حمى أو تورم في الوجه.	false
ثقل شديد بالصدر أثناء الراحة مع شحوب وتعرق غزير.	true
انسداد جزئي خفيف بالأنف بعد التعرض لهواء بارد، دون أعراض أخرى أو تدهور.	false
ألم قوي في الصدر يمتد إلى الفك مع صعوبة في أخذ النفس.	true
خشونة خفيفة في الحلق عند الاستيقاظ، تتحسن بشرب الماء، دون صعوبة في البلع.	false
وجع صدري شديد ممتد إلى الظهر بدأ بصورة مفاجئة.	true
ألم بسيط بالحلق مع رشح خفيف، دون حمى أو ضيق تنفس، ويمكن شرب السوائل بسهولة.	false
ألم شديد بالصدر مع خفقان ودوخة تمنع الوقوف.	true
بحة خفيفة بعد التحدث طويلًا، دون ألم شديد أو صعوبة في التنفس أو البلع.	false
إحساس بعصر قوي داخل الصدر لا يخف بالراحة.	true
سعال جاف خفيف ومتباعد منذ يوم، دون حمى أو ألم صدر أو ضيق تنفس.	false
ألم صدري شديد جديد مع قيء وضعف عام مفاجئ.	true
تهيج بسيط في الحلق بعد البقاء في هواء جاف، يخف مع السوائل، دون أعراض أخرى.	false
نهجان شديد أثناء الجلوس دون مجهود مع تدهور سريع.	true
حاجة متقطعة لتنظيف الحلق مع إفرازات أنفية خفيفة، دون اختناق أو صعوبة في البلع.	false
صفير قوي بالصدر مع صعوبة شديدة في إدخال الهواء.	true
سعال بسيط آخذ في التحسن بعد زوال الرشح، دون دم أو حمى أو صعوبة في التنفس.	false
تنفس مجهد جدًا مع انكماش الجلد بين الأضلاع عند كل شهيق.	true
جفاف خفيف بالفم والحلق بعد النوم والفم مفتوح، يزول بالشرب، دون عطش شديد مستمر.	false
استيقاظ على اختناق شديد وعدم القدرة على التنفس بصورة طبيعية.	true
تعب خفيف بالصوت بعد الغناء، مع بلع وتنفس طبيعيين ودون تورم في الرقبة.	false
طفل يعاني صعوبة شديدة في التنفس ويبدو خاملًا وغير قادر على الشرب.	true
وخز بسيط بالحلق عند الكلام الطويل، يتحسن بإراحة الصوت، دون حمى أو ألم عند البلع.	false
ضيق شديد بالنفس مع سعال يخرج معه دم.	true
حكة خفيفة في اليدين مع جفاف الجلد، دون تورم أو جروح أو طفح منتشر.	false
عجز مفاجئ عن الكلام أو السعال أو التنفس بعد ابتلاع قطعة طعام.	true
تقشر بسيط في جلد المرفقين دون ألم أو احمرار متزايد أو إفرازات.	false
تنفس شديد الصعوبة مع صوت حاد عند الشهيق وتورم بالرقبة.	true
حكة موضعية خفيفة بعد لدغة بعوضة، دون تورم بالوجه أو صعوبة في التنفس.	false
فقدان للوعي مع عدم الاستجابة عند النداء أو لمس الكتف.	true
احمرار محدود وخفيف تحت سوار ضيق، بدأ يخف بعد نزعه، دون فقاعات أو ألم.	false
انهيار مفاجئ مع غياب التنفس الطبيعي.	true
جفاف خفيف بالساقين مع حكة بسيطة، دون تشققات نازفة أو سخونة موضعية.	false
شخص فاقد الوعي لا يصدر إلا شهقات متباعدة.	true
تهيج بسيط بعد الحلاقة في مساحة صغيرة، دون صديد أو حمى أو انتشار للاحمرار.	false
عدم القدرة على إيقاظ شخص رغم مناداته وتحريك كتفه برفق.	true
حكة خفيفة عند موضع ملامسة صابون جديد، تتحسن بعد غسله، دون تورم أو ضيق تنفس.	false
إغماء أعقبه ارتباك شديد مستمر وعدم التعرف على المحيطين.	true
تشقق سطحي خفيف في الشفتين بسبب الجفاف، دون نزيف أو تورم.	false
فقدان وعي بعد ضربة على الرأس مع قيء متكرر.	true
احمرار بسيط في موضع احتكاك الملابس، دون جرح مفتوح أو ألم متزايد.	false
غياب عن الوعي مع تنفس بطيء جدًا وصوت غرغرة.	true
قشور خفيفة بفروة الرأس مع حكة محدودة، دون جروح أو إفرازات أو تساقط مفاجئ للشعر.	false
طفل لا يستجيب للصوت أو اللمس ويتنفس بشكل غير منتظم.	true
حرقة خفيفة مألوفة أعلى البطن بعد وجبة دسمة، دون ألم صدر أو قيء أو صعوبة بلع.	false
إغماء متكرر خلال وقت قصير مع ألم بالصدر.	true
طعم حامض بسيط بالفم بعد الاستلقاء عقب الطعام، يزول بالجلوس، دون ألم أو ضيق تنفس.	false
فقدان مفاجئ للوعي أثناء المشي دون استعادة الوعي حتى الآن.	true
تجشؤ متكرر قليلًا بعد مشروب غازي، دون ألم بالبطن أو قيء أو انتفاخ شديد.	false
دم يندفع من جرح عميق بالساق مع دوخة وشحوب.	true
امتلاء خفيف بالمعدة بعد الأكل بسرعة، يتحسن تدريجيًا، دون ألم شديد أو قيء.	false
نزيف أنفي غزير مستمر رغم الضغط الصحيح مع شعور بالإغماء.	true
حرقة بسيطة متقطعة بعد طعام حار، دون براز أسود أو قيء أو ألم بالصدر.	false
قيء يحتوي على كمية كبيرة من الدم الأحمر.	true
انزعاج خفيف أعلى البطن بعد الإفراط في الطعام، يتحسن مع الوقت، مع القدرة على الشرب.	false
براز أسود لزج مع دوار شديد وتعرق بارد.	true
ارتجاع قليل بطعم حامض بعد وجبة كبيرة، دون اختناق أو صعوبة بلع أو ألم صدري.	false
خروج كمية كبيرة من الدم مع البراز مصحوب بضعف شديد.	true
شعور خفيف بالثقل بعد وجبة متأخرة، دون ألم مستمر أو قيء أو تعرق.	false
نزيف مهبلي غزير يملأ فوطة خلال ساعة ويتكرر مع دوخة.	true
حرقة معدة خفيفة تشبه مرات سابقة بعد القهوة، دون دوخة أو نزيف أو نقص وزن غير مقصود.	false
جرح عميق في الرقبة ينزف باستمرار.	true
تجشؤ مع امتلاء بسيط بعد وجبة كبيرة، دون ضيق تنفس أو ألم صدر أو ألم شديد بالبطن.	false
نزيف شديد من موضع بتر إصبع بعد إصابة.	true
طفح مفاجئ مع تورم الحلق وصعوبة التنفس	true
تورم الوجه مع صفير وإغماء بعد مضاد حيوي	true
حكة منتشرة مع اختناق بعد لسعة دبور	true
تورم اللسان مع بحة مفاجئة بعد تناول الروبيان	true
شرى منتشر مع ضيق تنفس بعد حقن دواء	true
تورم الشفتين مع صعوبة الكلام والتنفس	true
طفح وحكة مع انهيار مفاجئ بعد تناول الفول السوداني	true
صفير شديد مع تورم الجفون واللسان بعد طعام	true
حكة محدودة مكان لسعة قديمة دون تورم منتشر	false
بقعة جلدية صغيرة حاكة دون حمى أو ضيق تنفس	false
احمرار خفيف بعد سوار جديد دون ألم أو تورم	false
حكة بسيطة تحت خاتم دون جرح أو التهاب	false
طفح موضعي خفيف بعد منظف دون أعراض عامة	false
جفاف وحكة خفيفة بالكوعين دون تشققات مؤلمة	false
حكة محدودة بالساعد بعد ملامسة صوف دون تورم	false
بقعة حمراء صغيرة بعد ملصق دون انتشار	false
تهيج خفيف خلف الأذن من النظارة دون جرح	false
حكة موسمية معتادة بالأنف دون تورم أو صفير	false
احمرار موضعي بسيط بعد كريم دون فقاعات أو ألم	false
حكة خفيفة حول حزام الساعة دون إفرازات	false
تهيج محدود من قماش خشن يتحسن بإبعاده	false
جفاف خفيف بالساقين مع حكة دون طفح منتشر	false
احمرار صغير مكان لدغة بعوض دون حمى	false
حكة سطحية بالكاحل بعد جورب ضيق دون تورم	false
ألم بطني شديد مع إغماء وتعرق بارد	true
ألم مفاجئ بالبطن مع بطن صلب كاللوح	true
ألم شديد يمين البطن مع حمى وقيء متكرر	true
ألم شديد بالبطن مع عجز عن إخراج الغازات وانتفاخ	true
ألم بطني بعد حادث مع شحوب ودوخة	true
ألم أعلى البطن يمتد للظهر مع قيء مستمر	true
ألم بطني شديد مع دم بالبراز وهبوط ضغط	true
ألم مفاجئ بالبطن مع كتلة نابضة ودوخة	true
ألم شديد بالبطن مع تشوش وبرودة الأطراف	true
ألم متزايد بالبطن مع قيء أخضر وانتفاخ شديد	true
ألم بطني شديد بعد عملية حديثة مع حمى	true
ألم شديد حول السرة مع إغماء	true
ألم بطني حاد مع عجز عن الوقوف	true
ألم بطني شديد مع اصفرار وحمى ورجفة	true
ألم شديد بالبطن مع قيء دموي وشحوب	true
قرقرة بالبطن بعد وجبة دون ألم أو قيء	false
غازات خفيفة بعد العدس دون انتفاخ شديد	false
امتلاء بسيط بعد الطعام يتحسن تدريجيا	false
مغص خفيف معتاد يزول بعد التبرز دون دم	false
انتفاخ بسيط بعد الحليب مماثل للمعتاد دون قيء	false
